target,x,y,z,cell
QU_E_46,822,1278,828,AEP1278
QU_A_7,190,685,805,GH685
QU_A_15,191,1002,864,GI1002
QU_A_16,190,1041,840,GH1041
QU_B_1,246,449,840,IL449
QU_B_21,246,1239,840,IL1239
QU_B_22,245,1278,805,IK1278
QU_C_5,301,607,828,KO607
QU_C_10,301,804,840,KO804
QU_C_11,300,843,805,KN843
QU_C_17,301,1081,864,KO1081
QU_C_18,300,1120,840,KN1120
QU_C_19,301,1160,840,KO1160
QU_C_20,300,1199,840,KN1199
QU_D_1,356,449,864,MR449
QU_D_13,356,923,864,MR923
QU_D_14,355,962,840,MQ962
QU_D_15,355,1002,840,MQ1002
QU_D_16,356,1041,864,MR1041
QU_D_18,356,1121,864,MR1121
QU_D_22,356,1278,840,MR1278
QU_D_23,355,1317,805,MQ1317
QU_E_23,410,1317,805,OT1317
QU_A_32,603,725,864,WE725
QU_A_33,602,764,828,WD764
QU_B_27,657,528,828,YG528
QU_B_47,657,1318,828,YG1318
QU_B_28,658,567,864,YH567
QU_B_29,657,606,828,YG606
QU_B_48,658,1357,864,YH1357
QU_D_25,768,449,864,ACN449
QU_D_28,768,567,864,ACN567
QU_D_29,767,606,828,ACM606
QU_D_31,768,686,864,ACN686
QU_E_33,823,765,864,AEQ765
QU_E_34,822,804,864,AEP804
QU_E_47,822,1318,864,AEP1318
QU_E_48,823,1357,864,AEQ1357
QU_B_9,247,765,864,IM765
QU_C_1,302,449,864,KP449
QU_C_21,302,1239,864,KP1239
QU_A_4,191,567,840,GI567
QU_A_8,190,725,840,GH725
QU_A_24,190,1357,840,GH1357
QU_B_12,245,883,840,IK883
QU_C_4,300,567,805,KN567
QU_C_12,300,883,840,KN883
QU_E_3,411,528,828,OU528
QU_E_24,410,1357,840,OT1357
QU_E_10,411,804,864,OU804
QU_A_25,602,448,828,WD448
QU_A_26,602,488,864,WD488
QU_A_34,602,804,864,WD804
QU_A_48,602,1357,864,WD1357
QU_B_30,657,646,828,YG646
QU_C_47,712,1318,828,AAJ1318
QU_C_36,712,883,864,AAJ883
QU_C_46,712,1278,828,AAJ1278
QU_C_48,712,1358,864,AAJ1358
QU_D_30,767,646,828,ACM646
QU_D_34,767,804,864,ACM804
QU_D_48,767,1357,828,ACM1357
QU_E_30,822,646,864,AEP646
QU_A_12,191,883,864,GI883
QU_B_8,246,725,840,IL725
QU_C_24,301,1357,840,KO1357
QU_D_10,356,804,840,MR804
QU_D_17,355,1081,840,MQ1081
QU_E_7,410,686,840,OT686
QU_B_46,658,1278,864,YH1278
QU_C_30,713,646,864,AAK646
QU_A_1,190,448,805,GH448
QU_D_24,355,1358,840,MQ1358
MK_B_NA,245,370,840,IK370
MK_C_NA,300,370,840,KN370
MK_D_NA,355,370,840,MQ370
MK_E_NA,410,370,840,OT370
MK_A_NA,190,371,864,GH371
MK_NA_4,1044,116,3304,AND116
MK_NA_2,144,1465,3481,EN1465
MK_NA_3,1024,1465,3481,AMJ1465
MK_NA_1,144,104,3304,EN104
